path,category,status,purpose,optimization_priority,cleanup_action,confidence
backend/app/dmfe/__init__.py,backend-core-dmfe,ACTIVE,package marker,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/compatibility.py,backend-core-dmfe,ACTIVE,5-factor compatibility scoring (CompatibilityCalculator),P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/scoring.py,backend-core-dmfe,ACTIVE,scoring support utilities,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/score_engine.py,backend-core-dmfe,ACTIVE,unified score engine,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/decision_engine.py,backend-core-dmfe,ACTIVE,DecisionEngine.run_analysis - manual analysis trigger,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/optimizer.py,backend-core-dmfe,ACTIVE,OR-Tools PDP route optimizer (RouteOptimizer),P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/driver_selection.py,backend-core-dmfe,ACTIVE,dispatch_trip/complete_trip/complete_stale_trips,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/pipeline.py,backend-core-dmfe,ACTIVE,PipelineRunner.run - end to end orchestrator,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/batch_generator.py,backend-core-dmfe,ACTIVE,BatchGenerator - static+adaptive batching,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/serializers.py,backend-core-dmfe,ACTIVE,batch_to_dict and related serialization,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/models.py,backend-core-dmfe,ACTIVE,DMFEBatch etc. ORM models,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/__init__.py,backend-core-dmfe-adaptive,ACTIVE,package marker,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/_util.py,backend-core-dmfe-adaptive,ACTIVE,adaptive shared helpers,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/batching.py,backend-core-dmfe-adaptive,ACTIVE,adaptive batching support,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/context.py,backend-core-dmfe-adaptive,ACTIVE,"ContextAwarenessEngine.build - duplicated per run, see P1-1",P1 (see roadmap P1-1/P1-2),KEEP,high
backend/app/dmfe/adaptive/decision.py,backend-core-dmfe-adaptive,ACTIVE,effective_threshold logic,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/factors.py,backend-core-dmfe-adaptive,ACTIVE,adaptive factor weighting,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/learning.py,backend-core-dmfe-adaptive,ACTIVE,"LearningEngine.load_state - re-read 3x, see P1-2",P1 (see roadmap P1-1/P1-2),KEEP,high
backend/app/dmfe/adaptive/matrix.py,backend-core-dmfe-adaptive,ACTIVE,adaptive distance/congestion matrix,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/weights.py,backend-core-dmfe-adaptive,ACTIVE,AdaptiveWeightGenerator,P0-protected (no changes without approval),KEEP,high
backend/app/dmfe/adaptive/xai.py,backend-core-dmfe-adaptive,ACTIVE,adaptive XAI support,P0-protected (no changes without approval),KEEP,high
backend/app/engine/__init__.py,backend-engine,ACTIVE,package marker for app.engine,none,KEEP,high
backend/app/engine/distance.py,backend-engine,ACTIVE,canonical haversine() used throughout dmfe/,none,KEEP,high
backend/app/engine/optimizer.py,backend-engine,"DELETED (corrected 2026-09-13, was stale ACTIVE)","legacy AIOrchestrator -- file deleted, POST /api/orchestration/optimize now returns HTTP 410","none (moot, file gone)",N/A,high
backend/app/engine/explainability.py,backend-engine,CONFIRMED DEAD,"superseded legacy explanation generator, zero references",P2 (P2-5),DELETE CANDIDATE,high
backend/app/api/routes/auth.py,backend-api,ACTIVE,login/profile endpoints,none,KEEP,high
backend/app/api/routes/config.py,backend-api,ACTIVE,system config CRUD,none,KEEP,high
backend/app/api/routes/dashboard.py,backend-api,ACTIVE,dashboard aggregate stats,none,KEEP,high
backend/app/api/routes/dmfe_engine.py,backend-api,ACTIVE,granular per-stage pipeline API (not called by frontend),none,KEEP,high
backend/app/api/routes/dmfe_v2.py,backend-api,ACTIVE,analyze/batches/history/statistics - the endpoint the UI's Run Analysis button uses,none,KEEP,high
backend/app/api/routes/drivers.py,backend-api,ACTIVE,driver/vehicle CRUD + assignment history,none,KEEP,high
backend/app/api/routes/notifications.py,backend-api,ACTIVE,notification CRUD,none,KEEP,high
backend/app/api/routes/orchestration.py,backend-api,ACTIVE,"simulate requests, dataset upload, legacy optimize",none,KEEP,high
backend/app/api/routes/playback.py,backend-api,ACTIVE,saved simulation playback,none,KEEP,high
backend/app/api/routes/providers.py,backend-api,ACTIVE,provider CRUD,none,KEEP,high
backend/app/api/routes/simulation.py,backend-api,ACTIVE,simulation engine start/stop/status/analytics,none,KEEP,high
