vehicle_id,vehicle_type,capacity,status,latitude,longitude,fuel_type
CBE-V-001,Car,4,Available,11.0132,76.9558,Petrol
CBE-V-002,Car,4,Available,11.0216,76.9701,Diesel
CBE-V-003,Van,8,Available,11.0048,76.9545,CNG
CBE-V-004,Van,8,Available,11.0132,76.9688,Electric
CBE-V-005,MiniTruck,15,Available,11.0216,76.9532,Petrol
CBE-V-006,Car,4,Available,11.0048,76.9675,Diesel
CBE-V-007,Car,4,Available,11.0132,76.9519,CNG
CBE-V-008,Van,8,Available,11.0216,76.9662,Electric
CBE-V-009,Van,8,Available,11.0048,76.9506,Petrol
CBE-V-010,MiniTruck,15,Available,11.0132,76.9649,Diesel
CBE-V-011,Car,4,Available,11.0216,76.9493,CNG
CBE-V-012,Car,4,Available,11.0048,76.9636,Electric
CBE-V-013,Van,8,Available,11.0132,76.948,Petrol
CBE-V-014,Van,8,Available,11.0216,76.9623,Diesel
CBE-V-015,MiniTruck,15,Available,11.0048,76.9467,CNG
CBE-V-016,Car,4,Available,11.0132,76.961,Electric
CBE-V-017,Car,4,Available,11.0216,76.9454,Petrol
CBE-V-018,Van,8,Available,11.0048,76.9597,Diesel
CBE-V-019,Van,8,Available,11.0132,76.9441,CNG
CBE-V-020,MiniTruck,15,Available,11.0216,76.9584,Electric
CBE-V-021,Car,4,Available,11.0048,76.9428,Petrol
CBE-V-022,Car,4,Available,11.0132,76.9571,Diesel
CBE-V-023,Van,8,Available,11.0216,76.9415,CNG
CBE-V-024,Van,8,Available,11.0048,76.9558,Electric
CBE-V-025,MiniTruck,15,Available,11.0132,76.9701,Petrol
CBE-V-026,Car,4,Available,11.0216,76.9545,Diesel
CBE-V-027,Car,4,Available,11.0048,76.9688,CNG
CBE-V-028,Van,8,Available,11.0132,76.9532,Electric
CBE-V-029,Van,8,Available,11.0216,76.9675,Petrol
CBE-V-030,MiniTruck,15,Available,11.0048,76.9519,Diesel
CBE-V-031,Car,4,Available,11.0132,76.9662,CNG
CBE-V-032,Car,4,Available,11.0216,76.9506,Electric
CBE-V-033,Van,8,Available,11.0048,76.9649,Petrol
CBE-V-034,Van,8,Available,11.0132,76.9493,Diesel
CBE-V-035,MiniTruck,15,Available,11.0216,76.9636,CNG
CBE-V-036,Car,4,Available,11.0048,76.948,Electric
CBE-V-037,Car,4,Available,11.0132,76.9623,Petrol
CBE-V-038,Van,8,Available,11.0216,76.9467,Diesel
CBE-V-039,Van,8,Available,11.0048,76.961,CNG
CBE-V-040,MiniTruck,15,Available,11.0132,76.9454,Electric
CBE-V-041,Car,4,Available,11.0216,76.9597,Petrol
CBE-V-042,Car,4,Available,11.0048,76.9441,Diesel
CBE-V-043,Van,8,Available,11.0132,76.9584,CNG
CBE-V-044,Van,8,Available,11.0216,76.9428,Electric
CBE-V-045,MiniTruck,15,Available,11.0048,76.9571,Petrol
CBE-V-046,Car,4,Available,11.0132,76.9415,Diesel
CBE-V-047,Car,4,Available,11.0216,76.9558,CNG
CBE-V-048,Van,8,Available,11.0048,76.9701,Electric
CBE-V-049,Van,8,Available,11.0132,76.9545,Petrol
CBE-V-050,MiniTruck,15,Available,11.0216,76.9688,Diesel
