vehicle_id,vehicle_type,capacity,status,latitude,longitude,fuel_type
V01,Auto,4,available,10.984,76.944,Petrol
V02,Auto,4,available,10.988,76.948,Petrol
V03,Auto,4,available,10.992,76.952,Petrol
V04,Auto,4,available,10.996,76.956,Petrol
V05,Auto,4,available,11.0,76.96,Petrol
V06,Auto,4,available,11.004,76.964,Petrol
V07,Auto,4,available,11.008000000000001,76.968,Petrol
V08,Auto,4,available,11.012,76.972,Petrol
V09,Auto,4,available,11.016,76.976,Petrol
V10,Auto,4,available,11.02,76.98,Petrol
V11,Auto,4,available,11.024000000000001,76.984,Petrol
V12,Auto,4,available,11.028,76.988,Petrol
V13,Auto,4,available,11.032,76.992,Petrol
V14,Auto,4,available,10.98,76.996,Petrol
V15,Auto,4,available,10.984,77.0,Petrol
V16,Auto,4,available,10.988,77.00399999999999,Petrol
V17,Auto,4,available,10.992,77.008,Petrol
V18,Auto,4,available,10.996,76.94,Petrol
V19,Auto,4,available,11.0,76.944,Petrol
V20,Auto,4,available,11.004,76.948,Petrol
V21,Auto,4,available,11.008000000000001,76.952,Petrol
V22,Auto,4,available,11.012,76.956,Petrol
V23,Auto,4,available,11.016,76.96,Petrol
V24,Auto,4,available,11.02,76.964,Petrol
V25,Auto,4,available,11.024000000000001,76.968,Petrol
V26,Auto,4,available,11.028,76.972,Petrol
V27,Auto,4,available,11.032,76.976,Petrol
V28,Auto,4,available,10.98,76.98,Petrol
V29,Auto,4,available,10.984,76.984,Petrol
V30,Auto,4,available,10.988,76.988,Petrol
V31,Auto,4,available,10.992,76.992,Petrol
V32,Auto,4,available,10.996,76.996,Petrol
V33,Auto,4,available,11.0,77.0,Petrol
V34,Auto,4,available,11.004,77.00399999999999,Petrol
V35,Auto,4,available,11.008000000000001,77.008,Petrol
V36,Auto,4,available,11.012,76.94,Petrol
V37,Auto,4,available,11.016,76.944,Petrol
V38,Auto,4,available,11.02,76.948,Petrol
V39,Auto,4,available,11.024000000000001,76.952,Petrol
V40,Auto,4,available,11.028,76.956,Petrol
V41,Auto,4,available,11.032,76.96,Petrol
V42,Auto,4,available,10.98,76.964,Petrol
V43,Auto,4,available,10.984,76.968,Petrol
V44,Auto,4,available,10.988,76.972,Petrol
V45,Auto,4,available,10.992,76.976,Petrol
V46,Auto,4,available,10.996,76.98,Petrol
V47,Auto,4,available,11.0,76.984,Petrol
V48,Auto,4,available,11.004,76.988,Petrol
V49,Auto,4,available,11.008000000000001,76.992,Petrol
V50,Auto,4,available,11.012,76.996,Petrol
